iter	Logloss
0	0.6811884519
1	0.6712083178
2	0.6607126687
3	0.6514956896
4	0.6426813643
5	0.6337959277
6	0.626308839
7	0.6179839847
8	0.6112118815
9	0.6042356393
10	0.5964100461
11	0.5912968163
12	0.5855439407
13	0.5805305225
14	0.5746087069
15	0.5684543185
16	0.5649106223
17	0.560119581
18	0.5559052418
19	0.5518083517
20	0.5469014665
21	0.542654862
22	0.5394323856
23	0.5355882296
24	0.5317470394
25	0.5281469657
26	0.5250362129
27	0.521017804
28	0.5183823522
29	0.5158880577
30	0.5129813118
31	0.5097824844
32	0.5071726092
33	0.5054718024
34	0.5031005828
35	0.5006977958
36	0.4985374804
37	0.4967396647
38	0.4947626162
39	0.492933789
40	0.4906952377
41	0.4893227134
42	0.4876257539
43	0.4856341565
44	0.4841849347
45	0.4828807044
46	0.4814529355
47	0.4800874177
48	0.4788950166
49	0.4773744981
50	0.475667979
51	0.474123001
52	0.4730616773
53	0.471600012
54	0.4700654976
55	0.4680571092
56	0.466679246
57	0.4657547932
58	0.4642190155
59	0.4629799362
60	0.4616585225
61	0.4609372896
62	0.4595633892
63	0.458644438
64	0.4575645992
65	0.4564977462
66	0.4556958125
67	0.4548656792
68	0.4539043505
69	0.4531796983
70	0.4524812561
71	0.4516774982
72	0.4510627833
73	0.4503609256
74	0.4495917619
75	0.4485741155
76	0.4479288845
77	0.4471989397
78	0.4465017559
79	0.4458138137
80	0.445184755
81	0.4442725712
82	0.4435065647
83	0.4428887015
84	0.4420409154
85	0.4414925515
86	0.4409155853
87	0.4402505536
88	0.4398747385
89	0.4394515534
90	0.4388933288
91	0.4384422767
92	0.4379754293
93	0.4374844353
94	0.436895353
95	0.4365064174
96	0.4360949256
97	0.4354984588
98	0.4348674951
99	0.4340610908
100	0.4336496094
101	0.4331850142
102	0.4327219993
103	0.4324588841
104	0.4320237125
105	0.4316973984
106	0.4308945773
107	0.4305678836
108	0.4301736776
109	0.4293515358
110	0.4289014959
111	0.4284501829
112	0.4274132939
113	0.4270341826
114	0.4264425576
115	0.4260150244
116	0.4256169124
117	0.4253306365
118	0.425022477
119	0.424720758
120	0.4243447112
121	0.423942182
122	0.4236487786
123	0.4232755146
124	0.4230713927
125	0.4228612843
126	0.4224312084
127	0.4221216944
128	0.4218488014
129	0.4211792294
130	0.4207010279
131	0.4205539091
132	0.420280383
133	0.420022193
134	0.419775744
135	0.4194180736
136	0.4185032633
137	0.4182254299
138	0.4179131593
139	0.4175961499
140	0.4173725845
141	0.4170633858
142	0.4168380166
143	0.4164597202
144	0.4162836407
145	0.4160590297
146	0.4153714132
147	0.4151128245
148	0.4149071261
149	0.4146059521
150	0.4143510544
151	0.4136846877
152	0.4135275179
153	0.4132457318
154	0.4130144694
155	0.4126925463
156	0.4120601394
157	0.4118664859
158	0.4116249994
159	0.4113868216
160	0.4112570136
161	0.4110196491
162	0.4108525247
163	0.4107298723
164	0.4104593319
165	0.4096955311
166	0.4093661101
167	0.4091149191
