iter	Passed	Remaining
0	2	2846
1	5	2869
2	8	2793
3	11	2788
4	13	2783
5	16	2764
6	25	3594
7	28	3591
8	33	3634
9	37	3707
10	40	3667
11	44	3628
12	49	3750
13	53	3779
14	57	3762
15	60	3738
16	65	3796
17	68	3762
18	72	3748
19	76	3736
20	79	3706
21	82	3660
22	84	3609
23	87	3559
24	90	3521
25	92	3478
26	96	3480
27	100	3480
28	104	3486
29	107	3461
30	109	3427
31	112	3388
32	114	3354
33	117	3324
34	119	3291
35	121	3260
36	124	3232
37	126	3207
38	129	3179
39	131	3152
40	133	3128
41	136	3103
42	138	3080
43	140	3058
44	143	3036
45	145	3016
46	147	2995
47	150	2978
48	152	2961
49	154	2944
50	157	2928
51	159	2913
52	162	2896
53	164	2882
54	167	2870
55	169	2857
56	171	2842
57	174	2834
58	177	2824
59	179	2813
60	182	2803
61	184	2792
62	186	2780
63	189	2770
64	191	2757
65	194	2745
66	196	2734
67	199	2730
68	201	2720
69	203	2709
70	206	2701
71	209	2700
72	212	2692
73	214	2683
74	216	2674
75	219	2668
76	221	2659
77	224	2654
78	227	2649
79	229	2641
80	232	2633
81	234	2624
82	236	2615
83	239	2606
84	241	2597
85	243	2589
86	245	2580
87	248	2572
88	250	2564
89	252	2557
90	255	2551
91	257	2544
92	260	2536
93	262	2531
94	265	2526
95	267	2519
96	270	2514
97	272	2510
98	275	2504
99	277	2497
100	279	2491
101	282	2485
102	284	2479
103	287	2474
104	289	2467
105	291	2461
106	294	2456
107	296	2452
108	299	2446
109	301	2440
110	304	2436
111	306	2432
112	309	2427
113	311	2423
114	314	2417
115	316	2411
116	318	2406
117	321	2400
118	323	2394
119	325	2389
120	328	2384
121	330	2380
122	333	2375
123	335	2369
124	337	2364
125	340	2359
126	342	2355
127	345	2350
128	347	2345
129	349	2341
130	352	2336
131	354	2330
132	356	2325
133	359	2320
134	361	2315
135	363	2310
136	366	2305
137	368	2301
138	370	2296
139	373	2291
140	375	2287
141	377	2282
142	380	2278
143	382	2273
144	384	2269
145	387	2265
146	389	2260
147	391	2255
148	394	2252
149	396	2247
150	398	2243
151	401	2238
152	403	2234
153	405	2230
154	408	2225
155	410	2221
156	413	2218
157	415	2214
158	418	2210
159	420	2206
160	422	2202
161	424	2198
162	427	2194
163	429	2189
164	431	2185
165	434	2181
166	436	2177
167	438	2173
168	441	2170
169	443	2167
170	446	2163
171	448	2159
172	451	2155
173	453	2152
174	455	2148
175	458	2145
176	460	2141
177	463	2138
178	465	2134
179	467	2130
180	470	2126
181	472	2124
182	474	2120
183	477	2116
184	479	2112
185	481	2109
186	484	2105
187	486	2101
188	488	2097
189	491	2094
190	493	2091
191	496	2087
192	498	2083
193	500	2080
194	503	2077
195	505	2073
196	508	2071
197	510	2068
198	512	2064
199	515	2061
200	517	2057
201	519	2054
202	522	2050
203	524	2047
204	527	2043
205	529	2040
206	531	2037
207	534	2033
208	536	2030
209	538	2027
210	541	2023
211	543	2020
212	545	2017
213	548	2013
214	550	2010
215	553	2007
216	555	2004
217	557	2001
218	560	1997
219	562	1994
220	564	1991
221	567	1987
222	569	1984
223	572	1982
224	574	1978
225	576	1975
226	579	1972
227	581	1969
228	583	1966
229	586	1962
230	588	1959
231	591	1956
232	593	1953
233	595	1950
234	598	1947
235	600	1944
236	602	1941
237	605	1938
238	607	1934
239	609	1931
240	612	1928
241	614	1925
242	617	1922
243	619	1919
244	621	1916
245	624	1912
246	626	1909
247	629	1907
248	631	1904
249	633	1901
250	636	1898
251	638	1893
252	640	1890
253	642	1887
254	645	1884
255	647	1881
256	649	1878
257	652	1875
258	654	1872
259	656	1869
260	659	1866
261	661	1864
262	664	1861
